,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
396,this  album is rated at a 0 out of a possible 6 .,,6,0,this,album,,
397,Give two  points to One Virgin Too Many,One Virgin Too Many,,two,,,,points
398,Can you give this  textbook a 2 out of 6 ?,,6,2,this,textbook,,
399,give 4 out of 6  stars to this  textbook,,6,4,this,textbook,,stars
400,I rate the book  Creature in the Teacher  3  stars,Creature in the Teacher,,3,,book,,stars
401,Rate the current  book a three,,,three,current,book,,
402,rate this book titled The Gray Prince  5  points,The Gray Prince,,5,,book,,points
403,Rate this  novel  4 out of 6 ,,6,4,this,novel,,
404,Give this  essay  four  stars / 6 .,,6,four,this,essay,,stars
405,I rate the book  Time and Stars  two  points,Time and Stars,,two,,book,,points
406,Rate my current  novel  3 out of 6,,6,3,current,novel,,
407,I want to give this  book  three out of 6  stars,,6,three,this,book,,stars
408,Rate The Bishop a 1,The Bishop,,1,,,,
409,Rate The Joy of Gay Sex a 5 out of 6,The Joy of Gay Sex,6,5,,,,
410,Rate this  textbook  zero  stars,,,zero,this,textbook,,stars
411,add this current  book  five  stars,,,five,current,book,,stars
412,I rate Monster Mythology  3  points .,Monster Mythology,,3,,,,points
413,The Coming Insurrection should get a rating of 1,The Coming Insurrection,,1,,,,
414,Give the book  Buzz about Bees a 2 star rating out of 6 .,Buzz about Bees,6,2,,book,,
415,I want to rate the current  textbook with 4,,,4,current,textbook,,
416,this  album is five  stars .,,,five,this,album,,stars
417,Rate Adventures in Stationery  saga  5  stars,Adventures in Stationery,,5,,,saga,stars
418,Freud: A Life for Our Time deserves a solid 4,Freud: A Life for Our Time,,4,,,,
419,Give this  textbook  3  stars .,,,3,this,textbook,,stars
420,rate this  novel  four  stars,,,four,this,novel,,stars
421,Rate this  album a 2,,,2,this,album,,
422,Rate my current  album  3  stars,,,3,current,album,,stars
423,I would give Basic Battle Skills a rating of four,Basic Battle Skills,,four,,,,
424,I would rate Tree of Smoke a value of two or a best rating of 6,Tree of Smoke,6,two,,,,
425,Rate the current  novel  1 of 6,,6,1,current,novel,,
426,out of 6 give The Morganville Vampires a 1,The Morganville Vampires,6,1,,,,
427,give 0 out of 6  stars to Reality of Certainty,Reality of Certainty,6,0,,,,stars
428,Diana in Search of Herself is average and gets a 3 out of 6  points,Diana in Search of Herself,6,3,,,,points
429,Rate this  saga  two with a bet rating of 6,,6,two,this,,saga,
430,I am giving this current  novel  4 out of 6  stars,,6,4,current,novel,,stars
431,I want to give the current  textbook  2 out of 6,,6,2,current,textbook,,
432,Rate In the Eyes of Mr. Fury  zero of 6,In the Eyes of Mr. Fury,6,zero,,,,
433,Rate the current  novel  5 of 6,,6,5,current,novel,,
434,Give Signals of Belief in Early England  four of 6,Signals of Belief in Early England,6,four,,,,
435,Rate Dictionary of the English Language a 4,Dictionary of the English Language,,4,,,,
436,Give the current  essay  3,,,3,current,essay,,
437,Rate this  textbook a 1,,,1,this,textbook,,
438,give 5 out of 6  stars to Creatures of Light and Darkness,Creatures of Light and Darkness,6,5,,,,stars
439,Rate The Loneliness of the Long Distance Runner  0  points / 6,The Loneliness of the Long Distance Runner,6,0,,,,points
440,Rate this  essay  two out of 6  stars,,6,two,this,essay,,stars
441,this  saga is definitely worth 4  stars .,,,4,this,,saga,stars
442,Rate Blood and Gold  saga  0  points,Blood and Gold,,0,,,saga,points
443,Give The Body Artist a 5 .,The Body Artist,,5,,,,
444,Rate this  book  four  stars out of 6,,6,four,this,book,,stars
445,Rate Seeing with the Eyes of Love  5  points,Seeing with the Eyes of Love,,5,,,,points
446,I'd rate the chronicle called The Art of Loving  3  points out of 6,The Art of Loving,6,3,,,chronicle,points
447,Rate Hocus Bogus a 4 .,Hocus Bogus,,4,,,,
448,Rate The First Death  1  stars,The First Death,,1,,,,stars
449,Rate the current  novel  3  points .,,,3,current,novel,,points
450,Rate Cold Light  5 out of 6  points .,Cold Light,6,5,,,,points
451,rate the book  The Outlaws of Sherwood  two  stars,The Outlaws of Sherwood,,two,,book,,stars
452,Rate The Demolished Man a five ,The Demolished Man,,five,,,,
453,give 3 out of 6  stars to this  essay,,6,3,this,essay,,stars
454,I giv the current  novel a four,,,four,current,novel,,
455,I would give zero  stars to A Concise Treatise on the Art of Angling out of 6 .,A Concise Treatise on the Art of Angling,6,zero,,,,stars
456,Rate my current  book  3 out of 6,,6,3,current,book,,
457,give zero out of 6  points to The False Peace,The False Peace,6,zero,,,,points
458,4  stars out of 6 is the rating for Fires of Azeroth,Fires of Azeroth,6,4,,,,stars
459,Rate this  novel  0 of 6  stars,,6,0,this,novel,,stars
460,Give A Mile Beyond the Moon  five  points,A Mile Beyond the Moon,,five,,,,points
461,rate The Confidence-Man  3  points,The Confidence-Man,,3,,,,points
462,rate Animals of the Bible  one of 6  points,Animals of the Bible,6,one,,,,points
463,Rate the current  book  1 of 6  points,,6,1,current,book,,points
464,I give 1  stars out of 6 to this current  series .,,6,1,current,,series,stars
465,the stars total 6 but Journey Under the Midnight Sun gets a four,Journey Under the Midnight Sun,6,four,,,,stars
466,I rated The Island of Adventure  saga a 2 of 6,The Island of Adventure,6,2,,,saga,
467,Rate The Art of Nijinsky  5  points,The Art of Nijinsky,,5,,,,points
468,rate the current  essay  four of 6 ,,6,four,current,essay,,
469,"I'd give With Lee in Virginia, A Story of the American Civil War  chronicle  4 of 6","With Lee in Virginia, A Story of the American Civil War",6,4,,,chronicle,
470,Rate this  album  five out of 6  stars .,,6,five,this,album,,stars
471,rate The Brothers Karamazov a four,The Brothers Karamazov,,four,,,,
472,rate Atop an Underwood: Early Stories and Other Writings  0 out of 6  stars,Atop an Underwood: Early Stories and Other Writings,6,0,,,,stars
473,give three  stars to current  essay,,,three,current,essay,,stars
474,Give this  novel  5  stars,,,5,this,novel,,stars
475,Rate the current  album a five out of 6,,6,five,current,album,,
476,Rate A Taste of Blackberries a three,A Taste of Blackberries,,three,,,,
477,I give zero  points to this  chronicle,,,zero,this,,chronicle,points
478,I would rate this  chronicle a value of 1 and a best rating of 6,,6,1,this,,chronicle,
479,rate Mandela: The Authorised Biography a one,Mandela: The Authorised Biography,,one,,,,
480,I'd like to give a rating of 4 to this current  book .,,,4,current,book,,
481,I give the previous  saga  4 out of 6,,6,4,previous,,saga,
482,Rate The Autobiography of Alice B. Toklas  1 out of 6  stars,The Autobiography of Alice B. Toklas,6,1,,,,stars
483,i give The Aquariums of Pyongyang  3 out of 6  stars,The Aquariums of Pyongyang,6,3,,,,stars
484,rate The Odd Angry Shot  five  points,The Odd Angry Shot,,five,,,,points
485,Give A Kentucky Cardinal  four  points,A Kentucky Cardinal,,four,,,,points
486,four  points for this  essay,,,four,this,essay,,points
487,I would rate Eater of Wasps a value of zero and a best rating of 6,Eater of Wasps,6,zero,,,,
488,give 0 out of 6  points to The Paper Men,The Paper Men,6,0,,,,points
489,Rate the current  essay  zero  points,,,zero,current,essay,,points
490,rate this  series  one of 6,,6,one,this,,series,
491,give this  textbook  zero out of 6  points,,6,zero,this,textbook,,points
492,Rate my current  essay a 2,,,2,current,essay,,
493,Please give 1  points to Waiting for the Mahatma .,Waiting for the Mahatma,,1,,,,points
494,I give The Cat and the King  2  stars .,The Cat and the King,,2,,,,stars
495,"The Naked and the Dead was pretty good, I'd give it four  stars .",The Naked and the Dead,,four,,,,stars
496,"I would rate this  book  chronicle , 3 out of 5  stars .",,,5,this,book,chronicle,stars
497,The book  History of Shit should be rated 2 out of 6 .,History of Shit,6,2,,book,,
498,Rate The White Body of Evening  one of 6,The White Body of Evening,6,one,,,,
499,I want to give Select Conversations with an Uncle  5  stars,Select Conversations with an Uncle,,5,,,,stars
500,Rate the current  essay  4 out of 6,,6,4,current,essay,,
501,National Lampoon Tenth Anniversary Anthology 1970–1980 is a 4 out of 6 read,National Lampoon Tenth Anniversary Anthology 1970–1980,6,4,,,,
502,Rate The Night Land  three out of 6,The Night Land,6,three,,,,
503,rate the current  novel  one out of 6,,6,one,current,novel,,
504,this album is the last and rated five,,,five,last,album,,
505,rate the book  The Orchard Book of First Greek Myths a 0,The Orchard Book of First Greek Myths,,0,,book,,
506,Gie this  textbook  3  stars,,,3,this,textbook,,stars
507,Rate the current  novel  two  stars,,,two,current,novel,,stars
508,I give The Lady Decides a rating value of 4 and a best rating of 6,The Lady Decides,6,4,,,,
509,I'd say Life in the Iron Mills was a five,Life in the Iron Mills,,five,,,,
510,rate this  saga  4 out of 6  stars,,6,4,this,,saga,stars
511,The current  essay only deserves one out of 6  points,,6,one,current,essay,,points
512,give the current  textbook  1 out of 6  stars,,6,1,current,textbook,,stars
513,rate Beaver Towers  five out of 6  stars,Beaver Towers,6,five,,,,stars
514,rate the last  series  one of 6  stars,,6,one,last,,series,stars
515,I feel that zero out of 6  points would be the rating of Queen of the Dawn .,Queen of the Dawn,6,zero,,,,points
516,I would rate the chronicle  The Monks of Thelema a 2,The Monks of Thelema,,2,,,chronicle,
517,"I liked Ports of Call , I'd give it a 5 out of 6 .",Ports of Call,6,5,,,,
518,give The Council of Dads  1 out of 6  stars,The Council of Dads,6,1,,,,stars
519,rate The Citadel  1 out of 6  points,The Citadel,6,1,,,,points
520,Give 4  stars to the current  essay,,,4,current,essay,,stars
521,Rate the current  textbook  1 of 6  stars,,6,1,current,textbook,,stars
522,I want to rate the saga  The Italian  two to 6  points .,The Italian,6,two,,,saga,points
523,rate The Pig Scrolls  one of 6  points,The Pig Scrolls,6,one,,,,points
524,the next  book is worth two,,,two,next,book,,
525,rate Cousin Bette  5  points,Cousin Bette,,5,,,,points
526,Give four / 6  points to Empire of Death,Empire of Death,6,four,,,,points
527,Rate Recovery Road a three,Recovery Road,,three,,,,
528,Give the current  series  two  stars .,,,two,current,,series,stars
529,The Comics We Loved gets 1 out of 6  points,The Comics We Loved,6,1,,,,points
530,I would give this current  chronicle a value of 4 and a best rating of 6,,6,4,current,,chronicle,
531,The Mad Scientist Hall of Fame gets only a two out of 6,The Mad Scientist Hall of Fame,6,two,,,,
532,Rate the current  essay  zero  stars,,,zero,current,essay,,stars
533,Rate To Live and Die in L.A. a four out of 6 .,To Live and Die in L.A.,6,four,,,,
534,give 3 out of 6  points to current  novel,,6,3,current,novel,,points
535,Rate this current  novel  1 out of 6  points .,,6,1,this current,novel,,points
536,4  stars for Three to Get Deadly,Three to Get Deadly,,4,,,,stars
537,Give this  album a five out of 6,,6,five,this,album,,
538,Not Yet: A Memoir of Living and Almost Dying was one out of 6  stars,Not Yet: A Memoir of Living and Almost Dying,6,one,,,,stars
539,I give Out of Sync  zero out of 6  points .,Out of Sync,6,zero,,,,points
540,The book  History by Contract is rated five  stars in my opinion.,History by Contract,,five,,book,,stars
541,Rate What Is Called Thinking ? 0  stars,What Is Called Thinking,,0,,,,stars
542,rate this  book  saga  3 out of 6  stars,,6,3,this,book,saga,stars
543,this  textbook gets a two,,,two,this,textbook,,
544,Give the current  textbook  5 / 6  points,,6,5,current,textbook,,points
545,Give this  series  3  stars,,,3,this,,series,stars
546,rate the current  book  3 out of 6  stars,,6,3,current,book,,stars
547,give Heartland  chronicle  four  points,Heartland,,four,,,chronicle,points
548,Rate The Masks of Time  zero of 6  stars,The Masks of Time,6,zero,,,,stars
549,give 0 out of 6  points to current  textbook,,6,0,current,textbook,,points
550,find five  points called The Origins of Virtue,The Origins of Virtue,,five,,,,points
551,Rate my current  book  one  stars,,,one,current,book,,stars
552,Rate this  book  four  points,,,four,this,book,,points
553,I would give this  book a value of 2 and a best rating of 6,,6,2,this,book,,
554,Rate Lord of the World a value of 4,Lord of the World,,4,,,,
555,I rate this  essay  5 of 6  points,,6,5,this,essay,,points
556,Rate this  novel  three out of 6  stars,,6,three,this,novel,,stars
557,i give the following  textbook  three  points,,,three,following,textbook,,points
558,give two out of 6  stars to current  book,,6,two,current,book,,stars
559,Rate this  essay  two  stars,,,two,this,essay,,stars
560,I rate Vivian Grey  three .,Vivian Grey,,three,,,,
561,give three  stars to chronicle  Falling in Love With Hominids,Falling in Love With Hominids,,three,,,chronicle,stars
562,Rate The Principle of Hope  1 out of 6  stars,The Principle of Hope,6,1,,,,stars
563,I want to give this current  textbook  4  points .,,,4,current,textbook,,points
564,I am giving this current  novel  1 out of 6  stars,,6,1,current,novel,,stars
565,Rate the current  textbook  4 out of 6  points,,6,4,current,textbook,,points
566,Give The Neon Bible  three  stars / 6,The Neon Bible,6,three,,,,stars
567,I give the current  chronicle  one of 6  stars,,6,one,current,,chronicle,stars
568,I rate this  essay a two of 6  points,,6,two,this,essay,,points
569,I would rate The Spoiler  0  stars,The Spoiler,,0,,,,stars
570,I give the next  essay  4 out of 6  points .,,6,4,next,essay,,points
571,Rate this current  novel  5  points,,,5,current,novel,,points
572,Rate The Change  0 out of 6  points,The Change,6,0,,,,points
573,Give the current  book a one out of 6 .,,6,one,current,book,,
574,This current  book deserves 1  points,,,1,current,book,,points
575,Rate this  textbook a three,,,three,this,textbook,,
576,Rate Voyages by Starlight a value of 0,Voyages by Starlight,,0,,,,
577,rate the book  Now and Forever  1 out of 6  points,Now and Forever,6,1,,book,,points
578,Rate this  book  3 out of 6  points,,6,3,this,book,,points
579,I feel like this  essay deserves four  stars,,,four,this,essay,,stars
580,Rate Contesting the Future of Nuclear Power a four,Contesting the Future of Nuclear Power,,four,,,,
581,this  essay deserves 0  stars .,,,0,this,essay,,stars
582,I would give Sentenced to Prism a rating of zero and a best rating of 6,Sentenced to Prism,6,zero,,,,
583,rate this  book a zero,,,zero,this,book,,
584,Give Waiting for the Mahatma  5 out of 6  points .,Waiting for the Mahatma,6,5,,,,points
585,For the book  Deception I rate it four  points,Deception,,four,,book,,points
586,I rate The Mathematical Magpie  chronicle a 0 of 6,The Mathematical Magpie,6,0,,,chronicle,
587,Give Grand Conspiracy  zero out of 6  points .,Grand Conspiracy,6,zero,,,,points
588,I'd like to rate this  textbook  4 out of 6,,6,4,this,textbook,,
589,rate this  novel a three,,,three,this,novel,,
590,give 1  stars to book  Mr Ponsonby,Mr Ponsonby,,1,,book,,stars
591,rate the current  textbook  3 out of 6,,6,3,current,textbook,,
592,I am giving the book titled The Masters of Solitude a rating of two out of 6,The Masters of Solitude,6,two,,book,,
593,I would rate this  chronicle  zero and a best rating of 6,,6,zero,this,,chronicle,
594,rate this  album  one out of 6,,6,one,this,album,,
595,I think this  essay is only good for one  stars,,,one,this,essay,,stars
596,The Amityville: The Evil Escapes  chronicle is only a 1 out of 6 .,Amityville: The Evil Escapes,6,1,,,chronicle,
597,Rate the current  novel a 3 ,,,3,current,novel,,
598,Rate the Casualties of Peace  series  one of 6,Casualties of Peace,6,one,,,series,
599,the following  essay is worth four out 6,,6,four,following,essay,,
600,give two  stars to current  chronicle,,,two,current,,chronicle,stars
601,The Latham Diaries deserves a rating value of 0 and a best rating of 6,The Latham Diaries,6,0,,,,
602,give four out of 6  points to current  album,,6,four,current,album,,points
603,Rate this  novel  1  points .,,,1,this,novel,,points
604,Rate this  novel at 2,,,2,this,novel,,
605,rate this  essay  three of 6  stars,,6,three,this,essay,,stars
606,Give The Lost Princess  3  stars .,The Lost Princess,,3,,,,stars
607,Rate Shadow of Night a 1 ,Shadow of Night,,1,,,,
608,rate the book  Line to Tomorrow  three  stars,Line to Tomorrow,,three,,book,,stars
609,rate Eleanor Rigby a 3 ,Eleanor Rigby,,3,,,,
610,I rate Doom 3: Worlds on Fire a 1 of 6,Doom 3: Worlds on Fire,6,1,,,,
611,the next  novel is 4  stars,,,4,next,novel,,stars
612,Give Twas the Night Before Christmas  0  points out of 6 .,Twas the Night Before Christmas,6,0,,,,points
613,rate this  textbook  4 out of 6  stars,,6,4,this,textbook,,stars
614,I'd rate the current  chronicle  2  points,,,2,current,,chronicle,points
615,Please rate this  book and album  4 to 6  stars .,,6,4,this,album,,stars
616,Make this  essay  two out 6  stars,,6,two,this,essay,,stars
617,give zero out of 6  points to Marxism and the Oppression of Women,Marxism and the Oppression of Women,6,zero,,,,points
618,I would give Dead Man Falling  5  points and a best rating of 6,Dead Man Falling,6,5,,,,points
619,give two  points out of 6 to this  novel,,6,two,this,novel,,points
620,give 4 out of 6  stars to this  textbook,,6,4,this,textbook,,stars
621,Rate Maps for Lost Lovers  1 of 6,Maps for Lost Lovers,6,1,,,,
622,give 1 out of 6  points to this  novel,,6,1,this,novel,,points
623,Give this  essay  one star out of 6,,6,one,this,essay,,
624,Rate this  album  4  points,,,4,this,album,,points
625,rate this  book  four of 6  points,,6,four,this,book,,points
626,The Rats of Hamelin deserves zero  points,The Rats of Hamelin,,zero,,,,points
627,rate this  album  1,,,1,this,album,,
628,For this  book I rate four  points,,,four,this,book,,points
629,I give Jonathan Livingston le goéland  2 of 6  points,Jonathan Livingston le goéland,6,2,,,,points
630,rate The Overton Window  series a two out of 6,The Overton Window,6,two,,,series,
631,Rate the current  textbook with 2  points out of 6 .,,6,2,current,textbook,,points
632,Rate The Natural a 4,The Natural,,4,,,,
633,Rate this  album  zero  stars,,,zero,this,album,,stars
634,rate the current  essay  5  points,,,5,current,essay,,points
635,"Of a total possible of 6 , I think the current  book is a five .",,6,five,current,book,,
636,Rate my current  book  four  points out of 6,,6,four,current,book,,points
637,Rate The Desert Column  3 out of 6 ,The Desert Column,6,3,,,,
638,rate this  essay  two  points out of 6,,6,two,this,essay,,points
639,Rate the previous  essay  5 out of 6,,6,5,previous,essay,,
640,Give this  saga a 5 out of 6 rating.,,6,5,this,,saga,
641,Rate this awful book called Cold with 0 out of 6  points,Cold,6,0,,book,,points
642,rate this  chronicle  3  stars,,,3,this,,chronicle,stars
643,For Mirrorshades I rate it three  stars,Mirrorshades,,three,,,,stars
644,I would rate this current  series I'm reading a two out of 6,,6,two,current,,series,
645,rate this  textbook  2 out of 6,,6,2,this,textbook,,
646,rate this  novel  0 of 6  stars,,6,0,this,novel,,stars
647,I am giving the current  novel a four out of 6 rating.,,6,four,current,novel,,
648,Rate Tropic of Capricorn  two  stars,Tropic of Capricorn,,two,,,,stars
649,Give The Lost World  2  points,The Lost World,,2,,,,points
650,give four out of 6 star to this  novel,,6,four,this,novel,,
651,3 out of 6 for the last  album,,6,3,last,album,,
652,rate this  book  4 out of 6,,6,4,this,book,,
653,this current  book is worth five,,,five,current,book,,
654,rate this current  album  five out of 6  points,,6,five,current,album,,points
655,Warriors of Legend gets a 3 out of 6,Warriors of Legend,6,3,,,,
656,rate the current  album  two  points,,,two,current,album,,points
657,Rate the current  textbook  3 of 6,,6,3,current,textbook,,
658,Rate Homicide: A Year on the Killing Streets  five  stars,Homicide: A Year on the Killing Streets,,five,,,,stars
659,Rate this  book  zero out of 6,,6,zero,this,book,,
660,rate the chronicle  following a 4,,,4,following,,chronicle,
661,I want to give The Nightmare Fair  five  stars and a rating of 6,The Nightmare Fair,6,five,,,,stars
662,Rate the My Beloved World  saga a one ,My Beloved World,,one,,,saga,
663,Big Breasts and Wide Hips is terrible and 1 out of 6,Big Breasts and Wide Hips,6,1,,,,
664,give one out of 6 star to A Girl Is a Half-formed Thing  chronicle,A Girl Is a Half-formed Thing,6,one,,,chronicle,
665,Rate Wielding a Red Sword  0  stars,Wielding a Red Sword,,0,,,,stars
666,Rate this  essay a 3,,,3,this,essay,,
667,rate Secrets and Lies  2 of 6  stars,Secrets and Lies,6,2,,,,stars
668,I'd give The Day of Reckoning  four  points,The Day of Reckoning,,four,,,,points
669,I feel that Sons and Lovers deserves a rating of 2 .,Sons and Lovers,,2,,,,
670,Rate this  album only three  points ,,,three,this,album,,points
671,give two out of 6  points to current  textbook,,6,two,current,textbook,,points
672,Rate my current  textbook  1 out of 6  points,,6,1,current,textbook,,points
673,rate Getting It Wrong from the Beginning a value of 4,Getting It Wrong from the Beginning,,4,,,,
674,I give the previous  series  four  stars .,,,four,previous,,series,stars
675,give five star to The Second Angel  series ,The Second Angel,,five,,,series,
676,give this  novel  3 of 6 ,,6,3,this,novel,,
677,Rate the current  essay  3 out of 6  points,,6,3,current,essay,,points
678,Give this  novel  two out of 6  stars,,6,two,this,novel,,stars
679,give this  textbook a five,,,five,this,textbook,,
680,Remember the City nets five out of 6 .,Remember the City,6,five,,,,
681,rate the current  chronicle a zero,,,zero,current,,chronicle,
682,Give The Phantom Ship a zero .,The Phantom Ship,,zero,,,,
683,Rate this  chronicle  0,,,0,this,,chronicle,
684,Give this  chronicle a 4 out of 6,,6,4,this,,chronicle,
685,Rate the saga  Rides a Dread Legion  zero out of 6  points .,Rides a Dread Legion,6,zero,,,saga,points
686,give three out of 6  points in current  essay,,6,three,current,essay,,points
687,Rate Encyclopaedia of the Social Sciences  zero out of 6,Encyclopaedia of the Social Sciences,6,zero,,,,
688,Rate the White Lies  chronicle  0  stars,White Lies,,0,,,chronicle,stars
689,give four star to current  novel,,,four,current,novel,,
690,I would give Bones of the Earth  2  points,Bones of the Earth,,2,,,,points
691,I am giving this current  essay  zero out of 6  stars,,6,zero,current,essay,,stars
692,For the current  essay I give a total of 1  stars,,,1,current,essay,,stars
693,Rate the current  textbook a 0 out of 6 .,,6,0,current,textbook,,
694,I want to give The Coming of the Terraphiles a rating of 1 .,The Coming of the Terraphiles,,1,,,,
695,Rate my current  book  1 out of 6,,6,1,current,book,,
696,I am giving the book  After Henry a rating of 0 out of 6  stars,After Henry,6,0,,book,,stars
697,Rate this  album  one value,,,one,this,album,,
698,rate With Kitchener in the Soudan  2  stars out of 6,With Kitchener in the Soudan,6,2,,,,stars
699,The current  essay gets four  points,,,four,current,essay,,points
700,Rate this  textbook  2  points .,,,2,this,textbook,,points
701,Rate current  book  two  points,,,two,current,book,,points
702,I would give the All That: Fresh out the Box  saga a rating of 2  points,All That: Fresh out the Box,,2,,,saga,points
703,Rate 3 out of 6  points to Darkworld Detective,Darkworld Detective,6,3,,,,points
704,Rate this  novel  5 out of 6  stars,,6,5,this,novel,,stars
705,I'd give The Mystery of the 99 Steps  three  stars out of 6,The Mystery of the 99 Steps,6,three,,,,stars
706,I give 4 of 6  stars for the saga  A Severe Mercy,A Severe Mercy,6,4,,,saga,stars
707,Rate this  album  three out of 6 ,,6,three,this,album,,
708,I want to give the current  textbook  0 out of 6  stars,,6,0,current,textbook,,stars
709,Rate this  album  2  stars,,,2,this,album,,stars
710,give 5 out of 6  points to Myths of the Hindus & Buddhists,Myths of the Hindus & Buddhists,6,5,,,,points
711,the previous  book is five out of 6  stars,,6,five,previous,book,,stars
712,give four  points to this  novel,,,four,this,novel,,points
713,Rate current  novel  two  stars,,,two,current,novel,,stars
714,Rate the current  essay  four out of 6 .,,6,four,current,essay,,
715,Rate The Coming of Bill  3 of 6  stars,The Coming of Bill,6,3,,,,stars
716,Rate this  essay  4 out of 6  stars ,,6,4,this,essay,,stars
717,The current  series deserves three  stars .,,,three,current,,series,stars
718,Give The Turning Point a 0 out of 6 .,The Turning Point,6,0,,,,
719,rate the book  Indiana Jones and the Dance of the Giants  5 out of 6  stars,Indiana Jones and the Dance of the Giants,6,5,,book,,stars
720,rate The Descendants  two  points,The Descendants,,two,,,,points
721,give Rathinirvedam a rating of 3 out of 6,Rathinirvedam,6,3,,,,
722,Rate Equal Affections  one  points,Equal Affections,,one,,,,points
723,Rate this  book  one  stars,,,one,this,book,,stars
724,rate Cock and Bull  5 of 6  points,Cock and Bull,6,5,,,,points
725,I think this  novel gets 1  stars,,,1,this,novel,,stars
726,Rate The Making of a Teacher a two,The Making of a Teacher,,two,,,,
727,Rate this  textbook  1  stars,,,1,this,textbook,,stars
728,I wish to give this  textbook a zero out of 6  points,,6,zero,this,textbook,,points
729,rate this  book  2  stars,,,2,this,book,,stars
730,rate the last  book  0  stars,,,0,last,book,,stars
731,I give the Flash  series  0 out of 6 .,Flash,6,0,,,series,
732,I think that this  book deserves a 3,,,3,this,book,,
733,Give the current  chronicle  2  stars .,,,2,current,,chronicle,stars
734,rate the current  saga  one  stars,,,one,current,,saga,stars
735,Rate the current  album  3  points,,,3,current,album,,points
736,Rate Peter and the Sword of Mercy  3 of 6  stars,Peter and the Sword of Mercy,6,3,,,,stars
737,rate The Lost Hero  chronicle  four out of 6,The Lost Hero,6,four,,,chronicle,
738,Out of 6  stars I give the chronicle  three and look forward to what's next .,,6,three,next,,chronicle,stars
739,Give Souls in Metal  four out of 6  points,Souls in Metal,6,four,,,,points
740,For the book  Tale of the Toa I give five  points ,Tale of the Toa,,five,,book,,points
741,I give The Prestige a rating of 5,The Prestige,,5,,,,
742,I give the Budayeen Nights  saga  five out of 6  points .,Budayeen Nights,6,five,,,saga,points
743,rate The Key Word and Other Mysteries  4 of 6,The Key Word and Other Mysteries,6,4,,,,
744,Rate this  textbook  4  stars .,,,4,this,textbook,,stars
745,Give the current  novel a 3 out of 6 rating,,6,3,current,novel,,
746,Rate the Deception  chronicle  one of 6  points,Deception,6,one,,,chronicle,points
747,3  stars is the rating for Boy Meets Boy,Boy Meets Boy,,3,,,,stars
748,Rate The Summer Job  5  stars,The Summer Job,,5,,,,stars
749,I give the following  saga a 5 .,,,5,following,,saga,
750,Rate my current  novel  one out of 6  points,,6,one,current,novel,,points
751,Rate this  book  0  points out of 6,,6,0,this,book,,points
752,Rate this  series  one out of 6 .,,6,one,this,,series,
753,this  album deserves to be rated one out of 6 !,,6,one,this,album,,
754,Rate From a Buick 8  0 out of 6,From a Buick 8,6,0,,,,
755,Give the current  essay a rating of zero out of 6  stars .,,6,zero,current,essay,,stars
756,give 2 for this  essay,,,2,this,essay,,
757,give Mistborn: The Well of Ascension  four out of 6,Mistborn: The Well of Ascension,6,four,,,,
758,Rate A Faint Cold Fear  0  points,A Faint Cold Fear,,0,,,,points
759,Rate this  novel a 3,,,3,this,novel,,
760,rate the current  album  2 out of 6,,6,2,current,album,,
761,Give a 4 star rating to Fear and Loathing on the Campaign Trail ’72,Fear and Loathing on the Campaign Trail ’72,,4,,,,
762,Rate current  textbook  5 out of 6,,6,5,current,textbook,,
763,Rat Short Trips: A Christmas Treasury a 3,Short Trips: A Christmas Treasury,,3,,,,
764,I'd give The Hundred Thousand Kingdoms a three of 6,The Hundred Thousand Kingdoms,6,three,,,,
765,this  chronicle is a zero out of 6 .,,6,zero,this,,chronicle,
766,Rate CIA World Factbook  five out of 6  stars,CIA World Factbook,6,five,,,,stars
767,rate the Poems for Midnight  saga  4  points,Poems for Midnight,,4,,,saga,points
768,give four out of 6  stars for this  chronicle,,6,four,this,,chronicle,stars
769,the next  essay gets 2 out of 6  stars,,6,2,next,essay,,stars
770,The current  album gets three out of 6  points,,6,three,current,album,,points
771,I would rate this  essay a one and a best rating of 6,,6,one,this,essay,,
772,rate this  book  four out of 6  points,,6,four,this,book,,points
773,rate the previous  novel a 1 out of 6,,6,1,previous,novel,,
774,For this current  textbook I give 4  stars,,,4,current,textbook,,stars
775,rate this  saga  1  points,,,1,this,,saga,points
776,Rate The Black Mask  1 of 6  stars,The Black Mask,6,1,,,,stars
777,rate The Princess Mouse: A Tale of Finland  one of 6,The Princess Mouse: A Tale of Finland,6,one,,,,
778,The current  series only deserves two out of 6 .,,6,two,current,,series,
779,the horrible current  essay gets only a 0 out of 6,,6,0,current,essay,,
780,They Knew Mr. Knight should get out of 6 a rating of two,They Knew Mr. Knight,6,two,,,,
781,Rate this  textbook only three  points,,,three,this,textbook,,points
782,Rate Phoenix: The Fall & Rise of Videogames  one  points out of 6,Phoenix: The Fall & Rise of Videogames,6,one,,,,points
783,I would give this current  chronicle  three  points,,,three,current,,chronicle,points
784,I'd give the Main-Travelled Roads  series  0  points out of 6,Main-Travelled Roads,6,0,,,series,points
785,I rate the current  saga  0  points and a best rating of 6,,6,0,current,,saga,points
786,Rate The A-Z Guide to Arranged Marriage  0 of 6,The A-Z Guide to Arranged Marriage,6,0,,,,
787,Give the current  album  1 star,,,1,current,album,,
