,text,party_size_number,spatial_relation,facility,timeRange,sort,country,party_size_description,restaurant_type,restaurant_name,cuisine,served_dish,state,poi,city
448,book a spot for three at a bakery in Grand Portage,three,,,,,,,bakery,,,,,,Grand Portage
449,I want to book a restaurant  within walking distance of my neighborhood .,,within walking distance,,,,,,restaurant,,,,,neighborhood,
450,Find an Oasis Drive-In  close-by  Beach 105th St .,,close-by,,,,,,,Oasis Drive-In,,,,Beach 105th St,
451,"Book a table for 5 people in Goodland , AK .",5,,,,,,,,,,,AK,,Goodland
452,Book a reservation for a pub with ma po tofu in Moldova,,,,,,Moldova,,pub,,,ma po tofu,,,
453,I would like to book a goan  restaurant for 8,8,,,,,,,restaurant,,goan,,,,
454,book a restautant in North Dakota at a bistro that is indoor,,,indoor,,,,,bistro,,,,North Dakota,,
455,"want to eat at Diners of Allentown, Pennsylvania on purim",,,,purim,,,,,"Diners of Allentown, Pennsylvania",,,,,
456,I need a reservation for four at a bar,four,,,,,,,bar,,,,,,
457,I need a table for 6 to eat at nearby in Clinchco .,6,nearby,,,,,,,,,,,,Clinchco
458,my father in law and I would like to go to a highly rated  bar,,,,,highly rated,,my father in law and I,bar,,,,,,
459,book a food court  indoor at Penermon for my step father and I,,,indoor,,,,my step father and I,food court,,,,,,Penermon
460,I need a table at a czech  pub at seven,seven,,,,,,,pub,,czech,,,,
461,Restaurant in Brokaw for a cuisine russian  far  restaurant,,far,,,,,,restaurant,,russian,,,,Brokaw
462,"book table to a tavern for a scrapple for harriett, deanne and I",,,,,,,"harriett, deanne and I",tavern,,,scrapple,,,
463,book a Steinway St place for 8 that is close,8,close,,,,,,,,,,,Steinway St,
464,book a restaurant  close by  my daughters's work location with burrito  three years from now,,close by,,three years from now,,,,restaurant,,,burrito,,my daughters's work location,
465,I'd like to eat in 1 minute at a neighboring  neighborhood  restaurant ,,neighboring,,in 1 minute,,,,restaurant,,,,,neighborhood,
466,book a restaurant for me and rosemary at 1 am,,,,1 am,,,me and rosemary,restaurant,,,,,,
467,book a spot for tommie and vera rogers in Irvine at 7 AM,,,,7 AM,,,tommie and vera rogers,,,,,,,Irvine
468,book a restaurant  163 days from now,,,,163 days from now,,,,restaurant,,,,,,
469,"restaurant in Kuwait for seven , Mar. eighteenth, 2030",seven,,,"Mar. eighteenth, 2030",,Kuwait,,restaurant,,,,,,
470,I want to eat at a highly rated  food court,,,,,highly rated,,,food court,,,,,,
471,"book a restaurant for me, valarie and caroline  in 56 weeks in Soldier Pond",,,,in 56 weeks,,,"me, valarie and caroline",restaurant,,,,,,Soldier Pond
472,Book reservation in Gasconade at the best  restaurant in DC,,,,,best,,,restaurant,,,,DC,,Gasconade
473,I need a reservation for The Berghoff in Jamaica  in 18 seconds,,,,in 18 seconds,,Jamaica,,,The Berghoff,,,,,
474,I'd like a table for two at a place in West Whittier  Nevada on indigenous people's day,two,,,indigenous people's day,,,,,,,,Nevada,,West Whittier
475,I would like to book a restaurant in Niagara Falls for 8 on June nineteenth,8,,,June nineteenth,,,,restaurant,,,,,,Niagara Falls
476,book a spot for six friends,six,,,,,,,,,,,,,
477,Find a popular  diner that serves brazilian  close by  Oklahoma for nine people.,nine,close by,,,popular,,,diner,,brazilian,,Oklahoma,,
478,I need a reservation for ten in Wisconsin,ten,,,,,,,,,,,Wisconsin,,
479,Find a reservation at the Roseland Theater at 10 pm,,,,10 pm,,,,,Roseland Theater,,,,,
480,Book a bar that serves italian-american cuisine  neighboring  Wilson Av for one person.,one,neighboring,,,,,,bar,,,italian-american cuisine,,Wilson Av,
481,Book the Bobcat Bite .,,,,,,,,,Bobcat Bite,,,,,
482,Book a restaurant in Myanmar for 4 .,4,,,,,Myanmar,,restaurant,,,,,,
483,I want a table for 4 at any kind of goiano  bar,4,,,,,,,bar,,goiano,,,,
484,book a table for five at a restaurant with the best rating,five,,,,best,,,restaurant,,,,,,
485,book a spot for 3 at supper time in IL,3,,,supper,,,,,,,,IL,,
486,Get me a table for one at a popular  brasserie,one,,,,popular,,,brasserie,,,,,,
487,book a spot at an osteria that has goiano in Ward Springs,,,,,,,,osteria,,goiano,,,,Ward Springs
488,book a spot for seven in 8 seconds from now,seven,,,8 seconds from now,,,,,,,,,,
489,Find a reservation for a tea house in Lorain,,,,,,,,tea house,,,,,,Lorain
490,I need a reservation for 8 at a top-rated  restaurant in Hagaman,8,,,,top-rated,,,restaurant,,,,,,Hagaman
491,"book a spot for connie, earline and rose at an oyster bar that serves chicken fried bacon in Beauregard  Delaware",,,,,,,"connie, earline and rose",oyster bar,,,chicken fried bacon,Delaware,,Beauregard
492,Lets get a table for 10 at Space Aliens Grill & Bar,10,,,,,,,,Space Aliens Grill & Bar,,,,,
493,Book the Union Oyster House in Guanica  Puerto Rico .,,,,,,,,,Union Oyster House,,,Puerto Rico,,Guanica
494,"Book a reservation for 6 in Belle Plaine , NE",6,,,,,,,,,,,NE,,Belle Plaine
495,book me a reservation at an oyster bar that serves crab cake for two people,two,,,,,,,oyster bar,,,crab cake,,,
496,i need to book a table for three in Lesotho,three,,,,,Lesotho,,,,,,,,
497,Book a reservation for a pub with internet for 2 people,2,,internet,,,,,pub,,,,,,
498,"Would like a table right now for leonor mendoza, imogene and lisa sanchez",,,,now,,,"leonor mendoza, imogene and lisa sanchez",,,,,,,
499,I want to book a churrascaria restaurant for ten people.,ten,,,,,,,churrascaria,,,,,,
500,party for ten at National Coney Island in DE,ten,,,,,,,,National Coney Island,,,DE,,
501,Book a table for three at a restarunt in Federal Hill,three,,,,,,,,,,,,,Federal Hill
502,"book a spot for 8 at The Kitchin on october the 13th, 2039",8,,,"october the 13th, 2039",,,,,The Kitchin,,,,,
503,Book a reservation for 8 at a restaurant that serves chicken fried bacon in Aruba,8,,,,,Aruba,,restaurant,,,chicken fried bacon,,,
504,Please make reservations for nine at 3 am .,nine,,,3 am,,,,,,,,,,
505,Book a table at a pub in China .,,,,,,China,,pub,,,,,,
506,"I need a reservation for a restaurant in Bangladesh on feb. the 11th, 2032",,,,"feb. the 11th, 2032",,Bangladesh,,restaurant,,,,,,
507,book a spot for ten at a pizzeria that has tourte in Minnesota  in 22 and a half weeks in Yamhill,ten,,,in 22 and a half weeks,,,,pizzeria,,,tourte,Minnesota,,Yamhill
508,book a table at Black Rapids Roadhouse in Antarctica for nine,nine,,,,,Antarctica,,,Black Rapids Roadhouse,,,,,
509,Book a table at The Vortex Bar & Grill on Alaska Day in the state of Rhode Island,,,,Alaska Day,,,,,The Vortex Bar & Grill,,,Rhode Island,,
510,Reserve a table for two at a restaurant which serves creole  around here in Myanmar .,two,around,,,,Myanmar,,restaurant,,creole,,,,
511,my brother in law and I would like to go to Guinea-Bissau for food,,,,,,Guinea-Bissau,my brother in law and I,,,,,,,
512,Please get seating at Bouchon in Tonga for jimmie and chasity howard,,,,,,Tonga,jimmie and chasity howard,,Bouchon,,,,,
513,Book a restaurant in Michigan for 4 people.,4,,,,,,,restaurant,,,,Michigan,,
514,I need a reservation for next week with a party of six,six,,,next week,,,,,,,,,,
515,please book a restaurant with parking facility at taverna,,,parking,,,,,taverna,,,,,,
516,call for a table of 3 at the Tavern on the Green in South Farmingdale,3,,,,,,,,Tavern on the Green,,,,,South Farmingdale
517,"Book a restaurant for monique stewart, arlene and jami .",,,,,,,"monique stewart, arlene and jami",restaurant,,,,,,
518,Book reservations to a cafeteria in Brockway  Colorado that serves thai food for six people,six,,,,,,,cafeteria,,thai,,Colorado,,Brockway
519,book a table for 7 at a churrascaria that is highly rated,7,,,,highly rated,,,churrascaria,,,,,,
520,Take me to the top-rated  taverna in Sealy for trattoria  next week for 5,5,,,next week,top-rated,,,taverna,,trattoria,,,,Sealy
521,"I need a reservation for me, edna and alyson at the steakhouse called smoking room",,,smoking room,,,,"me, edna and alyson",steakhouse,,,,,,
522,susanne and carey phillips want to go to a brasserie  not far from Pricedale that serves southern brazilian,,not far,,,,,susanne and carey phillips,brasserie,,southern brazilian,,,,Pricedale
523,I want a table for my grandson and I somewhere in Arkansas,,,,,,,my grandson and I,,,,,Arkansas,,
524,I want a table for 3 at a restaurant,3,,,,,,,restaurant,,,,,,
525,book near  Montana  restaurant serving sri lankan food for 6 that is highly rated on tues.,6,near,,tues.,highly rated,,,restaurant,,sri lankan,,Montana,,
526,I need a reservation for the Oasis Drive-In for a party of four,four,,,,,,,,Oasis Drive-In,,,,,
527,I need a diner,,,,,,,,diner,,,,,,
528,book a restaurant for four in Trinidad and Tobago,four,,,,,Trinidad and Tobago,,restaurant,,,,,,
529,I would like to book a puglia  food court in KY,,,,,,,,food court,,puglia,,KY,,
530,"Lets take me, cherry and tracie to a Noyack  bar",,,,,,,"me, cherry and tracie",bar,,,,,,Noyack
531,Book a reservation for a top-rated  lebanese  fast food place,,,,,top-rated,,,fast food,,lebanese,,,,
532,book a osteria with smoking room in Creola,,,smoking room,,,,,osteria,,,,,,Creola
533,I need a table for four at a restaurant in AL,four,,,,,,,restaurant,,,,AL,,
534,I need to book a restaurant for seven people at elevenses  Seafood restaurant,seven,,,elevenses,,,,restaurant,Seafood restaurant,,,,,
535,I'd like to book a table at Black Horse Tavern in Georgia at 4 am,,,,4 am,,,,,Black Horse Tavern,,,Georgia,,
536,book Tartine in Mississippi for 5,5,,,,,,,,Tartine,,,Mississippi,,
537,I'd like to eat at the best  restaurant ,,,,,best,,,restaurant,,,,,,
538,Book a table for ten for breakfast in Minnesota .,ten,,,breakfast,,,,,,,,Minnesota,,
539,Please book a room to accommodate one  in 11 weeks  near  Bahamas  restaurant,one,near,,in 11 weeks,,Bahamas,,restaurant,,,,,,
540,Lets eat at Newport Creamery in Carnot,,,,,,,,,Newport Creamery,,,,,Carnot
541,I need a reservation for four at a restaurant  in 1 hour and 1 second,four,,,in 1 hour and 1 second,,,,restaurant,,,,,,
542,book any popular  puglia serving oyster bar for 10 in Jemez Springs,10,,,,popular,,,oyster bar,,puglia,,,,Jemez Springs
543,Book a table at South Street Diner  close to your teenager's college .,,close,,,,,,,South Street Diner,,,,your teenager's college,
544,I want to book a restaurant in Keeling Islands for a party of ten,ten,,,,,Keeling Islands,,restaurant,,,,,,
545,I need a reservation for a churrascaria in Oneonta  Wyoming for a party of 4,4,,,,,,,churrascaria,,,,Wyoming,,Oneonta
546,book a spot for 7 at an outdoor  food court in Denmark,7,,outdoor,,,Denmark,,food court,,,,,,
547,Book a restaurant in Almyra  in 10 years ,,,,in 10 years,,,,restaurant,,,,,,Almyra
548,Find a reservation within walking distance of pauline's place for a party of 10 at fourteen o'clock at a restaurant that serves aioli,10,within walking distance,,fourteen o'clock,,,,restaurant,,,aioli,,pauline's place,
549,Can you make a reservation for next year in Modesto for joanna and ella,,,,next year,,,joanna and ella,,,,,,,Modesto
550,"Want a table at Montyâs Hotel, Secunderabad in the state of Vermont",,,,,,,,,"Montyâs Hotel, Secunderabad",,,Vermont,,
551,"I would like reservations made for Masonville , Vermont  nov. 7",,,,nov. 7,,,,,,,,Vermont,,Masonville
552,book a socca serving steakhouse for 2 in Saint James  Alabama,2,,,,,,,steakhouse,,,socca,Alabama,,Saint James
553,Book a table for nine people in Svalbard and Jan Mayen .,nine,,,,,Svalbard and Jan Mayen,,,,,,,,
554,I need to find a table for 4 at a brasserie that has fondue,4,,,,,,,brasserie,,,fondue,,,
555,I need a restaurant that can seat 3 in Cochran that has wifi .,3,,wifi,,,,,restaurant,,,,,,Cochran
556,I need a table for 10 at the best  gastropub,10,,,,best,,,gastropub,,,,,,
557,Make me a reservation that serves kebab at a delicatessen in AMbler,,,,,,,,delicatessen,,,kebab,,,AMbler
558,Book a table at a french  restaurant for fern and I,,,,,,,fern and I,restaurant,,french,,,,
559,I need a reservation for a highly rated  bistro for a party of 10 .,10,,,,highly rated,,,bistro,,,,,,
560,I want to book a pub in Juniper for 8 that serves bÃ»che de noÃ«l,8,,,,,,,pub,,,bÃ»che de noÃ«l,,,Juniper
561,book a mediterranean  restaurant for my sister and I,,,,,,,my sister and I,restaurant,,mediterranean,,,,
562,book a pub in Clermont for 8 people,8,,,,,,,pub,,,,,,Clermont
563,"Book reservations at restaurant in Edgemoor  NM on august 3, 2024",,,,"august 3, 2024",,,,restaurant,,,,NM,,Edgemoor
564,I would like to book a restaurant for two in 42 weeks from now in Wagram,two,,,42 weeks from now,,,,restaurant,,,,,,Wagram
565,Book a restaurant in Everson  Nevada that serves conchiglie for two people.,two,,,,,,,restaurant,,,conchiglie,Nevada,,Everson
566,Please book a restaurant for ten members near  downtown at 20:38,ten,near,,20:38,,,,restaurant,,,,,downtown,
567,"Book a table for 6 in The Cheese Course , Blocher on February the 10th .",6,,,February the 10th,,,,,The Cheese Course,,,,,Blocher
568,"Book a table for me, naomi and elisabeth at a brasserie with wifi",,,wifi,,,,"me, naomi and elisabeth",brasserie,,,,,,
569,need a table at a highly rated  south tyrolean  joint,,,,,highly rated,,,joint,,south tyrolean,,,,
570,Make me a reservation for a party of 6 at a pub at five o'clock in Arizona that serves waffles in the city of Hat Creek,6,,,five o'clock,,,,pub,,,waffles,Arizona,,Hat Creek
571,restaurant  scandinavian in Grenada,,,,,,Grenada,,restaurant,,scandinavian,,,,
572,Can I get some russian cuisine at a restaurant with shari and I ?,,,,,,,shari and I,restaurant,,russian,,,,
573,Can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated  fast food place that serves north indian food not distant from Moores Mill,eight,not distant,,three hundred thirty three days from now,highly rated,,,fast food,,north indian,,,,Moores Mill
574,Book an osteria that serves blini for 9 people.,9,,,,,,,osteria,,,blini,,,
575,Please book a brasserie restaurant for eight in Ireland,eight,,,,,Ireland,,brasserie restaurant,,,,,,
576,book a table for 2 in Gleed ,2,,,,,,,,,,,,,Gleed
577,Book reservations at a restaurant that serves brazilian food for 9 people,9,,,,,,,restaurant,,brazilian,,,,
578,Book an outdoor  restaurant .,,,outdoor,,,,,restaurant,,,,,,
579,book verdure serving restaurant in Bloom City,,,,,,,,restaurant,,,verdure,,,Bloom City
580,book a restaurant in AL at Oak Ridge,,,,,,,,restaurant,,,,AL,,Oak Ridge
581,I want to take nine people to a diner  close to the spa,nine,close,spa,,,,,diner,,,,,,
582,book a spot at a highly rated  afghan  restaurant,,,,,highly rated,,,restaurant,,afghan,,,,
583,Book a reservation for Thomas Hynes House on jan. the third in Netherlands,,,,jan. the third,,Netherlands,,,Thomas Hynes House,,,,,
584,"Book a reservation for leticia, melva and twila edwards at Glassy Junction for five pm  within the same area of our secondary residence",,within the same area,,five pm,,,"leticia, melva and twila edwards",,Glassy Junction,,,,our secondary residence,
585,I want to book a food court for 5 at 1 am,5,,,1 am,,,,food court,,,,,,
586,Find a reservation at Berowra Waters Inn in Australia  in 2 years ,,,,in 2 years,,Australia,,,Berowra Waters Inn,,,,,
587,book a table in Fullerville at a highly rated  bar,,,,,highly rated,,,bar,,,,,,Fullerville
588,Can you get seating for my father and I at a restaurant in Birch Run,,,,,,,my father and I,restaurant,,,,,,Birch Run
589,Book a best  restaurant in Wrigley .,,,,,best,,,restaurant,,,,,,Wrigley
590,I need a table for 8 people at a highly rated  pub that serves umbrian cuisine,8,,,,highly rated,,,pub,,umbrian,,,,
591,I'd like seats for ten at a highly rated  brasserie in Kyrgyzstan,ten,,,,highly rated,Kyrgyzstan,,brasserie,,,,,,
592,Book a restaurant with parking for three people.,three,,parking,,,,,restaurant,,,,,,
593,"Book a table for 2 at The Mustard Seed , Agate .",2,,,,,,,,The Mustard Seed,,,,,Agate
594,Book me a bar where I can get a bear claw in AS,,,,,,,,bar,,,bear claw,AS,,
595,Find me a table for me and my grandkid in Union Square Cafe,,,,,,,me and my grandkid,,Union Square Cafe,,,,,
596,stacy watson and adriana want to go to the best  osteria in Hallowell  Minnesota this afternoon,,,,afternoon,best,,stacy watson and adriana,osteria,,,,Minnesota,,Hallowell
597,I'd like to eat at Old Dutch  in 15 seconds in Northern Mariana Islands,,,,in 15 seconds,,,,,Old Dutch,,,Northern Mariana Islands,,
598,book a table at a pool  bar,,,pool,,,,,bar,,,,,,
599,"I want to eat Louisiana Fried Chicken in McColl , IA",,,,,,,,,Louisiana Fried Chicken,,,IA,,McColl
600,book a table in Tennessee for 1 for next August,1,,,next August,,,,,,,,Tennessee,,
601,I'd like to eat at the oyster bar for a party of one that has internet,one,,internet,,,,,oyster bar,,,,,,
602,I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas  FM,,,,,,,jacqueline wilson and deanna,,David Carpenter House,,,FM,,Uncas
603,Book a restaurant for one person at 7 AM,one,,,7 AM,,,,restaurant,,,,,,
604,Book a brasserie that serves mezzes in Iowa .,,,,,,,,brasserie,,,mezzes,Iowa,,
605,Would like to book a restaurant the last day of sukkot for lee and ines,,,,last day of sukkot,,,lee and ines,restaurant,,,,,,
606,book Red Crown Tourist Court  now for ten  not far from Tin City,ten,not far,,now,,,,,Red Crown Tourist Court,,,,,Tin City
607,I would like to find a cafe that serves grilled meat  close by in Tunisia and need a table for 2  one second from now .,2,close by,,one second from now,,Tunisia,,cafe,,,grilled meat,,,
608,at 4 am book a bar in the spa in Shamrock for eight,eight,,spa,4 am,,,,bar,,,,,,Shamrock
609,Book a table at an indoor  restaurant  now .,,,indoor,now,,,,restaurant,,,,,,
610,I want a table for 8 in Plain on Aug. 5,8,,,Aug. 5,,,,,,,,,,Plain
611,Book a highly rated  coffeehouse for four people.,four,,,,highly rated,,,coffeehouse,,,,,,
612,I want to eat supper at a Lesotho plaCE,,,,supper,,Lesotho,,,,,,,,
613,Restaurant in Durant for 3 PM,,,,3 PM,,,,Restaurant,,,,,,Durant
614,Lets go to the Rainforest Cafe that is in the same area as 135th St,,in the same area,,,,,,,Rainforest Cafe,,,,135th St,
615,I'd like a bar with hawaiian food in ND,,,,,,,,bar,,hawaiian,,ND,,
616,"Book a table for 1 on November the first, 2022",1,,,"November the first, 2022",,,,,,,,,,
617,Can you get me seating for a party of 5,5,,,,,,,,,,,,,
618,Book a popular  restaurant in New Jersey .,,,,,popular,,,restaurant,,,,New Jersey,,
619,Book a bar which serves chicken french at Robinson .,,,,,,,,bar,,,chicken french,,,Robinson
620,Find me a creole  restaurant,,,,,,,,restaurant,,,creole,,,
621,I'd like to get reservations at a top-rated  restaurant in Arkansas .,,,,,top-rated,,,restaurant,,,,Arkansas,,
622,I want to book a bistro that serves pasta salad in Brazil .,,,,,,Brazil,,bistro,,,pasta salad,,,
623,Make me a reservation somewhere outdoor in Port Wentworth for a party of five at a coffeehouse  in ten months that is distant,five,distant,outdoor,in ten months,,,,coffeehouse,,,,,,Port Wentworth
624,book a spot at a steakhouse with internet,,,internet,,,,,steakhouse,,,,,,
625,Book a table for cherie and josephine in Indonesia,,,,,,Indonesia,cherie and josephine,,,,,,,
626,book a spot at the top-rated  pub in Garner,,,,,top-rated,,,pub,,,,,,Garner
627,Book a table at a faraway  brasserie in NJ .,,faraway,,,,,,brasserie,,,,NJ,,
628,book a table in Greece for 4,4,,,,,Greece,,,,,,,,
629,I need to book a table at a fast food spot that serves slinger in PR,,,,,,,,fast food,,,slinger,PR,,
630,book a spot for one at a pub that serves som tam,one,,,,,,,pub,,,som tam,,,
631,Book a distant  restaurant that serves blini on 103rd St for 6 people.,6,distant,,,,,,restaurant,,,blini,,103rd St,
632,"casey chavez, lucinda and karina want to eat at a diner on december the 7th",,,,december the 7th,,,"casey chavez, lucinda and karina",diner,,,,,,
633,Book a restaurant for 9 people.,9,,,,,,,restaurant,,,,,,
634,book a table at Serendipity 3 in Veyo for now,,,,now,,,,,Serendipity 3,,,,,Veyo
635,book a best  steakhouse for 2 in Montserrat on 79 days and a half from now,2,,,79 days and a half from now,best,Montserrat,,steakhouse,,,,,,
636,book a bar for 2 in Hayden Row on friday,2,,,friday,,,,bar,,,,,,Hayden Row
637,I want to book the best  pub for 6 in New Mexico,6,,,,best,,,pub,,,,New Mexico,,
638,"bar restaurant for November the twelfth, 2030 that is popular and for a party of ten",ten,,,"November the twelfth, 2030",popular,,,bar restaurant,,,,,,
639,book a pizza serving tavern for me and my brother,,,,,,,me and my brother,tavern,,,pizza,,,
640,I'd like to reserve a table in Northcote .,,,,,,,,,Northcote,,,,,
641,"Please book a restaurant for six members on Jul. 13, 2036",six,,,"Jul. 13, 2036",,,,restaurant,,,,,,
642,Book a restaurant with a spa in Connecticut,,,spa,,,,,restaurant,,,,Connecticut,,
643,book a spot for elise and alma at a brasserie in Ravensdale  MH for this week,,,,this week,,,elise and alma,brasserie,,,,MH,,Ravensdale
644,"book a spot for five at a brasserie on jan. 7, 2023",five,,,"jan. 7, 2023",,,,brasserie,,,,,,
645,Book a bar with a pool in Mountain Iron .,,,pool,,,,,bar,,,,,,Mountain Iron
646,book a table with wifi in Delaware at a restaurant  in one minute,,,wifi,in one minute,,,,restaurant,,,,Delaware,,
647,I need to book a highly rated  restaurant in Coronado,,,,,highly rated,,,restaurant,,,,,,Coronado
648,Make me a reservation in Cedarburg at 0 pm,,,,0 pm,,,,,,,,,,Cedarburg
649,Book a reservation for a trentino  restaurant in Kansas,,,,,,,,restaurant,,trentino,,Kansas,,
650,book me and my grandparents a restaurant in Saint Helens  South Dakota,,,,,,,me and my grandparents,restaurant,,,,South Dakota,,Saint Helens
651,Reserve a table for teresa and elnora at a fast food joint which serves fish and chips,,,,,,,teresa and elnora,fast food joint,,,fish and chips,,,
652,I want a restaurant reservation for a party of 8 at a vegetarian  tea house .,8,,,,,,,tea house,,vegetarian,,,,
653,I need a reservation for four  this year at a restaurant,four,,,this year,,,,restaurant,,,,,,
654,book a table in Fairview  neighboring the area,,area,,,,,,,,,,,Fairview,
655,Need a jewish in Maine to book a restaurant,,,,,,,,restaurant,,jewish,,Maine,,
656,book spot at a balinese  joint,,,,,,,,joint,,balinese,,,,
657,I want a restaurant in Idaho for 2 of us.,2,,,,,,,restaurant,,,,Idaho,,
658,Book a tyrolean  restaurant in Crocker  Indiana  now for 3 people.,3,,,now,,,,restaurant,,tyrolean,,Indiana,,Crocker
659,"Can I book a restaurant that serves pastelaria in Takilma , Virgin Islands ?",,,,,,,,restaurant,,pastelaria,,Virgin Islands,,Takilma
660,I want to book an indoor  brasserie  within walking distance in ME .,,within walking distance,indoor,,,,,brasserie,,,,ME,,
661,"I want to go to the pub with angelita, susan reed and ashlee watson after us parking",,,parking,,,,"angelita, susan reed and ashlee watson",pub,,,,,,
662,Book a restaurant in Gate City for 5 people.,5,,,,,,,restaurant,,,,,,Gate City
663,book a spot for six at a restaurant that serves fish and chips,six,,,,,,,restaurant,,,fish and chips,,,
664,book a spot for 9 at Dinner in the Sky in SC,9,,,,,,,,Dinner in the Sky,,,SC,,
665,Book a taverna in Equatorial Guinea  this month for nine people.,nine,,,this month,,Equatorial Guinea,,taverna,,,,,,
666,book a stracciatella provider coffeehouse for 10,10,,,,,,,coffeehouse,,,stracciatella,,,
667,Book reservations at a faraway  restaurant in Newtown at meal time,,faraway,,meal,,,,restaurant,,,,,Newtown,
668,reserve a spotat the food truck  twelve weeks from now,,,,twelve weeks from now,,,,food truck,,,,,,
669,Book a reservation for a restaurant in Palau  in six years ,,,,in six years,,,,restaurant,,,,Palau,,
670,restaurant in West Virginia for my son and I,,,,,,,my son and I,restaurant,,,,West Virginia,,
671,I'd like to reserve a table at a pub that serves andouillettes  within the same area in San Marino .,,within the same area,,,,San Marino,,pub,,,andouillettes,,,
672,Book me a reestaurant that is close in the country of Cocos Islands,,close,,,,Cocos Islands,,,,,,,,
673,I need a table for 10 at Thomas Hynes House  nineteen minutes from now,10,,,nineteen minutes from now,,,,,Thomas Hynes House,,,,,
674,Please find a restaurant in Sierraville  Wyoming that has room for 6,6,,,,,,,restaurant,,,,Wyoming,,Sierraville
675,Need a table for sep. first in Haiti for a party of three,three,,,sep. first,,Haiti,,,,,,,,
676,Table for five at a restaurant in Lavina,five,,,,,,,restaurant,,,,,,Lavina
677,book me a taverna restaurant,,,,,,,,taverna restaurant,,,,,,
678,I want to book the best  steakhouse with south american cuisines in Alaska,,,,,best,,,steakhouse,,south american,,Alaska,,
679,Find a reservation for mar. 20th in Winnie at any restaurant,,,,mar. 20th,,,,restaurant,,,,,,Winnie
680,Book a food truck in MP for me and my ex husband .,,,,,,,me and my ex husband,food truck,,,,MP,,
681,I need a table for 3 at David Whitney House in Brazil,3,,,,,Brazil,,,David Whitney House,,,,,
682,book a table for 2 guests at a restaurant in Lazy Mountain  NY,2,,,,,,,restaurant,,,,NY,,Lazy Mountain
683,Find a table close by in the downtown  area for sherri and I,,area,,,,,sherri and I,,,,,,downtown,
684,sofia phillips and winifred walker want to dine at a mughlai  restaurant in LA on Nov. the 1st,,,,Nov. the 1st,,,sofia phillips and winifred walker,restaurant,,mughlai,,LA,,
685,Can you book a table for eight people at a spa type restaurant  within walking distance of the Metropolitan Borough of Lambeth,eight,within walking distance,spa,,,,,restaurant,,,,,Metropolitan Borough of Lambeth,
686,book a spot for me and my sister at a restaurant that has clafoutis,,,,,,,me and my sister,restaurant,,,clafoutis,,,
687,make a table reservation at the top-rated  brasserie in Cotton Center,,,,,top-rated,,,brasserie,,,,,,Cotton Center
688,restaurant in South Sudan for 6,6,,,,,South Sudan,,restaurant,,,,,,
689,Book a party for 7 at a food court with potato salad in Alabama  in eleven hours ,7,,,in eleven hours,,,,food court,,,potato salad,Alabama,,
690,in 1 second I need a restaurant in San Marino for 9,9,,,in 1 second,,San Marino,,restaurant,,,,,,
691,I want to reserve a gastropub that has a spa .,,,spa,,,,,gastropub,,,,,,
692,book a spot at the best  steakhouse in Florida,,,,,best,,,steakhouse,,,,Florida,,
693,Find a reservation at a restaurant that serves gougÃ¨re in Laneville with a party of nine,nine,,,,,,,restaurant,,,gougÃ¨re,,,Laneville
694,book a restaurant for six in MP,six,,,,,,,restaurant,,,,MP,,
695,book a table in Glennie for 1 in the Northern Mariana Islands,1,,,,,,,,,,,Northern Mariana Islands,,Glennie
696,I want a table for 2 at a restaurant late at night .,2,,,night,,,,restaurant,,,,,,
697,"restaurant in Elberta for alma, deana and olga at 18:49:20 that serves tsipouro",,,,18:49:20,,,"alma, deana and olga",restaurant,,tsipouro,,,,Elberta
698,"I'd like a table for ten  in 2 minutes at French Horn, Sonning Eye",ten,,,in 2 minutes,,,,,"French Horn, Sonning Eye",,,,,
699,book close-by for 1 in South Dakota,1,close-by,,,,,,,,,,South Dakota,,
700,Book a table for chasity ruiz and mary at The Fat Duck in Puerto Rico,,,,,,Puerto Rico,chasity ruiz and mary,,The Fat Duck,,,,,
701,I would like to book a restaurant  neighboring  Lincoln Beach,,neighboring,,,,,,restaurant,,,,,,Lincoln Beach
702,Book a spot for one at a fish  restaurant,one,,,,,,,restaurant,,,fish,,,
703,Lets eat now somewhere in Roach,,,,now,,,,,,,,,,Roach
704,my colleagues and I would like a restaurant in Snow Lake,,,,,,,my colleagues and I,restaurant,,,,,,Snow Lake
705,"book tea at The Hamburger Wagon for 3  vickie reed, melody and I in Georgia",3,,,tea,,Georgia,"vickie reed, melody and I",,The Hamburger Wagon,,,,,
706,book a cafeteria for 5 in Turkmenistan,5,,,,,Turkmenistan,,cafeteria,,,,,,
707,I want to eat close to Bowlegs  seven years from now,,close,,seven years from now,,,,,,,,,,Bowlegs
708,book a spot for seven at a brasserie with ginestrata,seven,,,,,,,brasserie,,,ginestrata,,,
709,I'd like to eat at a bar that serves corn relish with a party of five,five,,,,,,,bar,,,corn relish,,,
710,Can you get me seating for 5 people 1 minute from now in Tuvalu,5,,,1 minute from now,,Tuvalu,,,,,,,,
711,Book me a reservation for 6 at a highly rated  pub,6,,,,highly rated,,,pub,,,,,,
712,I want a table for 7 at a popular  cafeteria on Holy Saturday in GA,7,,,Holy Saturday,popular,,,cafeteria,,,,GA,,
713,Find a reservation for three in Ansonia  MI,three,,,,,,,,,,,MI,,Ansonia
