,text,artist,entity_name,playlist_owner,playlist,music_item
525,Add the 3rd world to my  focus now,,the 3rd world,my,focus now,
526,add eric moo to women of jazz,eric moo,,,women of jazz,
527,Add a track to Fusion Fest,,,,Fusion Fest,track
528,add this extended play to Women's Lit playlist,,extended play,,Women's Lit,
529,please add this album to the playlist titled Hip Hop 2017 New School,,,,Hip Hop 2017 New School,album
530,add a track in Nike Running Tempo Mix,,,,Nike Running Tempo Mix,track
531,put this song by rayvon on my  all out 80s playlist,rayvon,,my,all out 80s,song
532,Add album to my  grandes unplugged,,,my,grandes unplugged,album
533,Can you put a song by Rick Astley on my  hot 50 playlist,Rick Astley,,my,hot 50,song
534,put Ron Grainer on my  disco fever playlist,Ron Grainer,,my,disco fever,
535,Add afdlin shauki to La Mejor MÃºsica Dance 2017,afdlin shauki,,,La Mejor MÃºsica Dance 2017,
536,Add song to my  underground hits,,,my,underground hits,song
537,Add Roots of the Outsiders to Blues Roots,,Roots of the Outsiders,,Blues Roots,
538,put Bring Me Down onto my  tokyo rising playlist,,Bring Me Down,my,tokyo rising,
539,Add Kevin Ridel to instrumental madness,Kevin Ridel,,,instrumental madness,
540,On lea's  saturday night playlist add the name D Generation,,D Generation,lea's,saturday night,
541,Add artist  Leonard Cohen to my  indie brazuca,Leonard Cohen,,my,indie brazuca,artist
542,Add a norma jean  tune to the Soul Revived playlist.,norma jean,,,Soul Revived,tune
543,add this song to wedding classics playlist,,,,wedding classics,song
544,Add this song to my  roadrunner rec new releases list.,,,my,roadrunner rec new releases,song
545,Can you add something from Method Man to my  this is mozart playlist,Method Man,,my,this is mozart,
546,put Pause on my  DÃ­as de FrÃ­o playlist,,Pause,my,DÃ­as de FrÃ­o,
547,add the current artist to my  top 100 pop tracks on spotify playlist,,,my,top 100 pop tracks on spotify,artist
548,Add jack scott to my  fantasÃ­a playlist,jack scott,,my,fantasÃ­a,
549,please put Book of Love on my  NTC High Intensity Training Tracks playlist,,Book of Love,my,NTC High Intensity Training Tracks,
550,Add a billy strayhorn  song to my  the selektor playlist,billy strayhorn,,my,the selektor,song
551,add tune to my  relax & unwind playlist,,,my,relax & unwind,tune
552,Add Stephanie Biddle to my  Digster Reggae playlist,Stephanie Biddle,,my,Digster Reggae,
553,add song by ian mcdonald to an instrumental sunday ,ian mcdonald,,,an instrumental sunday,song
554,put this track on soul bpm  my playlist,,,my,soul bpm,track
555,Add another MC chris  track to my  Blues Roots playlist.,MC chris,,my,Blues Roots,track
556,add people take pictures of each other to Rhythm and Blues playlist,,people take pictures of each other,,Rhythm and Blues,
557,add the song  don't drink the water to my playlist,,,my,don't drink the water,song
558,add git to Domingo Indie,,git,,Domingo Indie,
559,Add kaya newest track to my  I Love My '00's R&B playlist,kaya,,my,I Love My '00's R&B,track
560,find lesley's  epic classical playlist and add this tune,,,lesley's,epic classical,tune
561,Please add the song by Sunil Santha to my  Pre-Party R&B Jams list,Sunil Santha,,my,Pre-Party R&B Jams,song
562,add this is AndrÃ©s Calamaro by Milk ,,Milk,,this is AndrÃ©s Calamaro,
563,Add Come on Feel the Lemonheads to my  salsa classics playlist.,,Come on Feel the Lemonheads,my,salsa classics,
564,this track should go into my playlist called This Is Beethoven,,,my,This Is Beethoven,track
565,Add live around the world to crossroad blues,,live around the world,,crossroad blues,
566,put a xiang xiang  track onto women of the blues,xiang xiang,,,women of the blues,track
567,Can you add a tune by natalie macmaster to my  viajes playlist,natalie macmaster,,my,viajes,tune
568,"add kansas city, missouri to Stress Relief","kansas city, missouri",,,Stress Relief,
569,add farruko presenta los menores to my  amor amor playlist,,farruko presenta los menores,my,amor amor,
570,Add Jarvis Cocker to my  Chillin' on a Dirt Road playlist,Jarvis Cocker,,my,Chillin' on a Dirt Road,
571,Add artist to ina's  2010s smash hits,,,ina's,2010s smash hits,artist
572,Add another song to the acoustic soul playlist,,,,acoustic soul,song
573,put donnie g don gorilla on my  classical romance playlist,,donnie g don gorilla,my,classical romance,
574,I'd like for you to put this artist to my  Evening Commute playlist.,,,my,Evening Commute,artist
575,Add don sebesky  song to The Refugee Playlist,don sebesky,,,The Refugee Playlist,song
576,Add tune to Reggae Infusions,,,,Reggae Infusions,tune
577,my  indietronic playlist needs until the end of time added,,until the end of time,my,indietronic,
578,add the current tune to my  Rock Gaming playlist,,,my,Rock Gaming,tune
579,add LISA to my playlist Street Dance,LISA,,my,Street Dance,
580,add album to mellow bars,,,,mellow bars,album
581,Add an album to my list clÃ¡sicos de fogata,,,my,clÃ¡sicos de fogata,album
582,The feel good indie rock playlist needs another song ,,,,feel good indie rock,song
583,Add Barry McGuire to my playlist called have a laugh .,Barry McGuire,,my,have a laugh,
584,add tune  Papa Bue to Ã©xitos espaÃ±a playlist,Papa Bue,,,Ã©xitos espaÃ±a,tune
585,add the track by apostolos nikolaidis to the This Is Luis Fonsi playlist,apostolos nikolaidis,,,This Is Luis Fonsi,track
586,Can you add don moye to my  Pop playlist?,don moye,,my,Pop,
587,please put this artist into my  Lo mejor de Radio 3 playlist,,,my,Lo mejor de Radio 3,artist
588,I want to put Land of the Dead into my  Big Daddy's Booze & Blues playlist.,,Land of the Dead,my,Big Daddy's Booze & Blues,
589,add zombieland to NoctÃ¡mbulo playlist,,zombieland,,NoctÃ¡mbulo,
590,Add Warm and Beautiful to the ironing playlist.,,Warm and Beautiful,,ironing,
591,Add this track to my  lo que suena new york playlist,,,my,lo que suena new york,track
592,put track on my  synth pop list,,,my,synth pop,track
593,add kasey chambers to my  political punks playlist,kasey chambers,,my,political punks,
594,Add a track to the El Mejor Pop en EspaÃ±ol playlist.,,,,El Mejor Pop en EspaÃ±ol,track
595,please put this track onto letha's  signed xoxo playlist,,,letha's,signed xoxo,track
596,Add this album to my  US Latin Top 50 palylist,,,my,US Latin Top 50,album
597,Add shake your rump to my  concentraciÃ³n indie rock playlist,,shake your rump,my,concentraciÃ³n indie rock,
598,add arthur lee to my  jazz vibes playlist,arthur lee,,my,jazz vibes,
599,Add Priscilla to my playlist Classical Dance Music Ballet & Beyond,Priscilla,,my,Classical Dance Music Ballet & Beyond,
600,add Ghost on the Dance Floor to my  Autumn Lounge playlist,,Ghost on the Dance Floor,my,Autumn Lounge,
601,Add jonny buckland to my playlist weekly buzz,jonny buckland,,my,weekly buzz,
602,Include stefanie in Pre-Party R&B Jams,,stefanie,,Pre-Party R&B Jams,
603,I want my  Reggae Infusions playlist to have Plaid Retina on it.,Plaid Retina,,my,Reggae Infusions,
604,Add artist to playlist Classic Punk,,,,Classic Punk,artist
605,Add this album to holly's  bandas sonoras playlist,,,holly's,bandas sonoras,album
606,The Hot House playlist needs another album,,,,Hot House,album
607,add song by emmy rossum to Hit Rewind,emmy rossum,,,Hit Rewind,song
608,Add this tune to the Spinnin' Records Top 100 list,,,,Spinnin' Records Top 100,tune
609,add this track to the playlist hits of the 70s,,,,hits of the 70s,track
610,add album to my  Deathcore playlist,,,my,Deathcore,album
611,Put Targeted in my  Clapton Chronicles The Best of Eric Clapton playlist.,,Clapton Chronicles The Best of Eric Clapton,my,Targeted,
612,add this song to my  Classical Dance Music Ballet & Beyond list,,,my,Classical Dance Music Ballet & Beyond,song
613,Add another song to daphne's  retrowave outrun playlist.,,,daphne's,retrowave outrun,song
614,Add When You Come Back to the jazz for loving couples playlist.,,When You Come Back,,jazz for loving couples,
615,Add a track to summer of love,,,,summer of love,track
616,put frank farian on my  Deep Dark Indie Folk playlist,frank farian,,my,Deep Dark Indie Folk,
617,add josefina pla to isabelle's  Guest List GamesRadar playlist,josefina pla,,isabelle's,Guest List GamesRadar,
618,add Iâm Only a Man to my  flow espaÃ±ol,,Iâm Only a Man,my,flow espaÃ±ol,
619,Add an album by Jenifer to my  travelling playlist,Jenifer,,my,travelling,album
620,add Heat of the Night to my  Novedades Viernes SudamÃ©rica playlist,,Heat of the Night,my,Novedades Viernes SudamÃ©rica,
621,add artist to my  Phunkadelic playlist,,,my,Phunkadelic,artist
622,Play Elizeth Cardoso to my  Nothing But A Party R&B playlist,Elizeth Cardoso,,my,Nothing But A Party R&B,
623,"put this song in my  funk playlist, please",,,my,funk,song
624,"add Aprite le finestre to my  This Is Earth, Wind & Fire playlist",,Aprite le finestre,my,"This Is Earth, Wind & Fire",
625,Put the joy division the complete bbc recordings on 40 hits,,joy division the complete bbc recordings,,40 hits,
626,Please put maimi yajima 's song onto OperaciÃ³n Bikini .,maimi yajima,,,OperaciÃ³n Bikini,song
627,Can you add a eviatar banai  album to my  tgif playlist,eviatar banai,,my,tgif,album
628,add the ragged curtain onto the playlist called party through the decades,,the ragged curtain,,party through the decades,
629,Add Joey Fatone to my  Spotlight on Country 2016 playlist,Joey Fatone,,my,Spotlight on Country 2016,
630,Add the tune to bandas sonoras,,,,bandas sonoras,tune
631,Add First Issue to my  your favorite slaughterhouse playlist,,First Issue,my,your favorite slaughterhouse,
632,Add natasha to my  All Things Post playlist,,natasha,my,All Things Post,
633,Add another album to my  this is pavarotti playlist.,,,my,this is pavarotti,album
634,add erik santos in my playlist Metal Xplorer,erik santos,,my,Metal Xplorer,
635,add artist to my  Trance Life group,,,my,Trance Life,artist
636,Add the name as with gladness men of old to my  ultimate 90s playlist,,as with gladness men of old,my,ultimate 90s,
637,Add what child is this to Dark Dance Floors,,what child is this,,Dark Dance Floors,
638,Put jiro in my  clÃ¡sicos del hip hop espaÃ±ol playlist.,jiro,,my,clÃ¡sicos del hip hop espaÃ±ol,
639,add this tune to my  fresh finds hiptronix playlist,,,my,fresh finds hiptronix,tune
640,"add already over, pt 2 to Hip Hop 2017 New School",,"already over, pt 2",,Hip Hop 2017 New School,
641,add song by charlie hunter to Rumba y mÃ¡s,charlie hunter,,,Rumba y mÃ¡s,song
642,I need another artist in the romÃ¡ntica playlist.,,,,romÃ¡ntica,artist
643,add Jacob Hoggard to my  get going playlist,Jacob Hoggard,,my,get going,
644,Put Jazzy B on Lazy Chill Afternoon playlist,Jazzy B,,,Lazy Chill Afternoon,
645,The dubstep dangles dirty playlist needs Digital at Montreux in it,,Digital at Montreux,,dubstep dangles dirty,
646,Add a tune to clÃ¡sicos del hip hop espaÃ±ol,,,,clÃ¡sicos del hip hop espaÃ±ol,tune
647,add dark days in paradise to my  gym playlist,,dark days in paradise,my,gym,
648,Put this album on my  wine & dine playlist,,,my,wine & dine,album
649,add tune to NUSIC,,,,NUSIC,tune
650,add iemand als jij to my playlist named In The Name Of Blues,,iemand als jij,my,In The Name Of Blues,
651,add this album by richard hell to arlene's playlist named miami 2017 guest list,richard hell,,arlene's,miami 2017 guest list,album
652,add this track to my  Comedy New Releases,,,my,Comedy New Releases,track
653,Can 50 minute technicolor dream be added to meredith's  Cierra La Puerta playlist?,,50 minute technicolor dream,meredith's,Cierra La Puerta,
654,add this artist to my  Jazz playlist,,,my,Jazz,artist
655,Add New Wave Blues to my  Push Button Funk playlist,,New Wave Blues,my,Push Button Funk,
656,Put Mike McCready in the kitchen swagger playlist.,Mike McCready,,,kitchen swagger,
657,Add a song from Randy Rhoads to my  50 ClÃ¡sicos playlist,Randy Rhoads,,my,50 ClÃ¡sicos,song
658,add i pledge allegiance to the grind to my  SinfonÃ­a Hipster playlist,,i pledge allegiance to the grind,my,SinfonÃ­a Hipster,
659,Add Ultimatum to my  crash course playlist,,Ultimatum,my,crash course,
660,Add another track to my  Women of Latin Music playlist,,,my,Women of Latin Music,track
661,Add an andy hurley  album to my  transatlantic lullaby list,andy hurley,,my,transatlantic lullaby,album
662,add this artist to my playlist named funtime,,,my,funtime,artist
663,Add this song to my list called The Birth of Cool,,,my,The Birth of Cool,song
664,Add this Nozomi Tsuji  tune to my  Hot House playlist,Nozomi Tsuji,,my,Hot House,tune
665,add alexandra govere to my  anochecer urbano playlist,alexandra govere,,my,anochecer urbano,
666,Add a track to my  hands up playlist.,,,my,hands up,track
667,Add Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side to edna st vincent millay,,Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side,,edna st vincent millay,
668,Add another album to my  keep calm playlist.,,,my,keep calm,album
669,Include Brandon Paris in The MetalSucks Playlist,Brandon Paris,,,The MetalSucks Playlist,
670,Add artist to showstopper being mary jane,,,,showstopper being mary jane,artist
671,add apathy to my  electro sur playlist,apathy,,my,electro sur,
672,Add ChÃ©r to the Still Got the Blues playlist,,ChÃ©r,,Still Got the Blues,
673,Add this track to my  Rock Hard playlist,,,my,Rock Hard,track
674,Can you put tire me onto my  new music friday latin playlist?,,tire me,my,new music friday latin,
675,Add a gackt camui  track to the White Noise playlist.,gackt camui,,,White Noise,track
676,I want to add un jour dans notre vie to my list running to rock 170 to 190 bpm,,un jour dans notre vie,my,running to rock 170 to 190 bpm,
677,Put Al Jarreau on the ConcentraciÃ³n playlist,Al Jarreau,,,ConcentraciÃ³n,
678,Add song to my  pure rock & roll,,,my,pure rock & roll,song
679,add track to Punk Essentials,,,,Punk Essentials,track
680,add the man who never lied to my current comedy top tracks,,the man who never lied,my,comedy top tracks,
681,Can you add some morton feldman piano and string quartet to my  global funk playlist,,morton feldman piano and string quartet,my,global funk,
682,"Add Perfect Sense, Part I to my  women of classical list",,"Perfect Sense, Part I",my,women of classical,
683,add song to marta's  endorphin rush playlist,,,marta's,endorphin rush,song
684,Add to my  Rumba y mÃ¡s playlist the song by haley scarnato,haley scarnato,,my,Rumba y mÃ¡s,song
685,Add louis nelson delisle to the pulse of americana,louis nelson delisle,,,the pulse of americana,
686,Add janie jones to my  Indie Pop,,janie jones,my,Indie Pop,
687,Play Rock This playlist with Badonviller Marsch,,Badonviller Marsch,,Rock This,
688,ad this track by Isobel Campbell to my  Folk for Kids list,Isobel Campbell,,my,Folk for Kids,track
689,Add this tune to my  post metal playlist,,,my,post metal,tune
690,Add garry shider  album to my  classical essentials,garry shider,,my,classical essentials,album
691,Add shi xin hui to my  piano chill playlist.,shi xin hui,,my,piano chill,
692,add Fabri Fibra to The Birth of Cool,Fabri Fibra,,,The Birth of Cool,
693,add Gary Lachman  track to jazz for loving couples playlist,Gary Lachman,,,jazz for loving couples,track
694,I want another artist on my  atmospheric black metal playlist,,,my,atmospheric black metal,artist
695,add this track to Punk Rock Workout,,,,Punk Rock Workout,track
696,Add beijing huanying ni to my  workday lounge playlist,,beijing huanying ni,my,workday lounge,
697,add dj clay to my  canciones del recuerdo,dj clay,,my,canciones del recuerdo,
698,I want to add Kiara to my  Digster Future Hits playlist,Kiara,,my,Digster Future Hits,
699,Add the tune by Cassie Ventura to my  genre bender playlist,Cassie Ventura,,my,genre bender,tune
700,Put hampartsoum limondjian in running to rock 170 to 190 bpm,hampartsoum limondjian,,,running to rock 170 to 190 bpm,
701,Put King of America onto the playlist with the title a sudden rainstorm,,King of America,,a sudden rainstorm,
702,add back porch spirituals to my  Hit Remix playlist,,back porch spirituals,my,Hit Remix,
703,"add Tinker, Tailor to my playlist titled this is trey songz",,"Tinker, Tailor",my,this is trey songz,
704,Put sleeping with ghosts into my  90s Indie playlist.,,sleeping with ghosts,my,90s Indie,
705,add this album to my  party with friends,,,my,party with friends,album
706,"Add crying, waiting, hoping to my  weekly buzz playlist.",,"crying, waiting, hoping",my,weekly buzz,
707,Add tune to my  hot 50,,,my,hot 50,tune
708,add jason webley to Classical Intimate Dinner playlist,jason webley,,,Classical Intimate Dinner,
709,Add track to my  Peaceful Piano,,,my,Peaceful Piano,track
710,Add the current tune to my  Evening Groove list,,,my,Evening Groove,tune
711,Add this John Tesh  tune to the friendesemana playlist,John Tesh,,,friendesemana,tune
712,Add an album to Women of Hip Hop,,,,Women of Hip Hop,album
713,Add The âChirpingâ Crickets to my  Mellowed Out Gaming playlist,,The âChirpingâ Crickets,my,Mellowed Out Gaming,
714,Put an album by Mohammad Reza Shadjarian in my  Chillin' on a Dirt Road playlist.,Mohammad Reza Shadjarian,,my,Chillin' on a Dirt Road,album
715,Add tunnel rats to my  Rhythm and Blues playlist,,tunnel rats,my,Rhythm and Blues,
716,Add song to top 100 country tracks on spotify ,,,,top 100 country tracks on spotify,song
717,Add a Mary Fahl  tune to the Pre-Party R&B Jams playlist.,Mary Fahl,,,Pre-Party R&B Jams,tune
718,please put this tune on the irish folk â jigs & reels playlist,,,,irish folk â jigs & reels,tune
719,put Sonntagskind onto the playlist called soulful disco,,Sonntagskind,,soulful disco,
720,"Add Nazad, nazad, Kalino mome to Escapada",,"Nazad, nazad, Kalino mome",,Escapada,
721,add my hands to travelling playlist,,my hands,,travelling,
722,add back on the dancefloor to my  bajo las estrellas playlist,,back on the dancefloor,my,bajo las estrellas,
723,Add Munawar Ali Khan to my  mujeres y hombres y fiesta,Munawar Ali Khan,,my,mujeres y hombres y fiesta,
724,add maggie mcgill to my  night vibes,,maggie mcgill,my,night vibes,
725,add the artist to my  emotron playlist,,,my,emotron,artist
726,Add suffer little children to this is racionais mc's playlist,,suffer little children,,this is racionais mc's,
727,Add Jermaine Fagan to spring music,Jermaine Fagan,,,spring music,
728,Include golden boy in Pop Dance,,golden boy,,Pop Dance,
729,put this dave abbruzzese  tune on Family Road Trip,dave abbruzzese,,,Family Road Trip,tune
730,Add knocked out loaded to the spring vibes playlist.,,knocked out loaded,,spring vibes,
731,Add even serpents shine to dorothea's  indie hipster playlist,,even serpents shine,dorothea's,indie hipster,
732,add madlib invazion to my  prog rock monsters list,,madlib invazion,my,prog rock monsters,
733,Add Bone Crusher to the chill out playlist,Bone Crusher,,,chill out,
734,Add this artist to my  Post-grunge playlist,,,my,Post-grunge,artist
735,Add Geschwisterliebe to my  string theory playlist.,,Geschwisterliebe,my,string theory,
736,Add iene miene mutte to Women of R&B playlist,,iene miene mutte,,Women of R&B,
737,"Add this track by Del tha Funkee Homosapien to the playlist songs for you, not your parents",Del tha Funkee Homosapien,,,"songs for you, not your parents",track
738,I want this tune on my  Most Necessary playlist,,,my,Most Necessary,tune
739,Incorporate Ayumi Hamasaki Arena Tour 2009 A Next Level into my  MÃºsica Libre playlist.,,Ayumi Hamasaki Arena Tour 2009 A Next Level,my,MÃºsica Libre,
740,Add d roc the executioner to my  This Is ZezÃ© Di Camargo & Luciano playlist.,d roc the executioner,,my,This Is ZezÃ© Di Camargo & Luciano,
741,Add Nothing Can Stop Us to my  Lazy Chill Afternoon playlist.,,Nothing Can Stop Us,my,Lazy Chill Afternoon,
742,put frank farian on lydia's playlist called The Black Power Mixtape 1967 to 1975,frank farian,,lydia's,The Black Power Mixtape 1967 to 1975,
743,Can you put the album onto Cierra La Puerta ?,,,,Cierra La Puerta,album
744,Add Hanging On to my  just dance by aftercluv playlist.,,Hanging On,my,just dance by aftercluv,
745,Add tune to my  Para comer,,,my,Para comer,tune
746,Put journey to love onto Hip Hop 2017 New School .,,journey to love,,Hip Hop 2017 New School,
747,The trapaholics needs another artist added.,,,,trapaholics,artist
748,add Wing  track to All A Cappella,Wing,,,All A Cappella,track
749,add paul wickens to Lo mejor del Rock de EspaÃ±a,paul wickens,,,Lo mejor del Rock de EspaÃ±a,
750,put this album on my  dubstep dangles dirty playlist,,,my,dubstep dangles dirty,album
751,Put dschiwan gasparjan into the Cool Down playlist.,dschiwan gasparjan,,,Cool Down,
752,Add artist to my  working day,,,my,working day,artist
753,please add this artist to my  Zen Focus playlist,,,my,Zen Focus,artist
754,Add the track  BG Knocc Out to the rapcaviar playlist,BG Knocc Out,,,rapcaviar,track
755,Add the name x forza e x amore to the playlist Musica EspaÃ±ola 2017,,x forza e x amore,,Musica EspaÃ±ola 2017,
756,I want to move this album to the selektor playlist,,,,the selektor,album
757,add tolmatschowa schwestern to my  Street Dance playlist,tolmatschowa schwestern,,my,Street Dance,
758,Add the artist to my  Metal playlist.,,,my,Metal,artist
759,Add the frank beard  song to the Soft Pop Hits playlist,frank beard,,,Soft Pop Hits,song
760,add song to Trap Land,,,,Trap Land,song
761,I want do you want to build a snowman in my  Hip Hop 2017 New School playlist,,do you want to build a snowman,my,Hip Hop 2017 New School,
762,add this album to my  MediodÃ­a AcÃºstico playlist,,,my,MediodÃ­a AcÃºstico,album
763,add time flies 1994-2009 to the Jazzy Romance playlist,,time flies 1994-2009,,Jazzy Romance,
764,Please put David Van Tieghem onto my  throwback party playlist.,David Van Tieghem,,my,throwback party,
765,Add lisa dalbello to my  2015 CMA Awards Nominees list,lisa dalbello,,my,2015 CMA Awards Nominees,
766,I want you to add the currently playing This Generation into my playlist called funtime activity,,This Generation,my,funtime activity,
767,I want to add Hind Etin to my  La Mejor MÃºsica Dance 2017 playlist,,Hind Etin,my,La Mejor MÃºsica Dance 2017,
768,Add the artist  Gwenno Pipette to the sexy as folk playlist.,Gwenno Pipette,,,sexy as folk,artist
769,Add the song to the soundscapes for gaming playlist.,,,,soundscapes for gaming,song
770,Add night and day to my  Lazy Chill Afternoon playlist,,night and day,my,Lazy Chill Afternoon,
771,add this song to my  metal playlist,,,my,metal,song
772,put A L Lloyd on gaming anthems,A L Lloyd,,,gaming anthems,
773,Add fuzzy logic to latin dinner,,fuzzy logic,,latin dinner,
774,add the artist to my  southern gothic playlist,,,my,southern gothic,artist
775,put Unbound into found them first for me,,Unbound,,found them first,
776,The this is kevin johansen playlist needs The Lamb Lies Down on Broadway in it.,,The Lamb Lies Down on Broadway,,this is kevin johansen,
777,add Michael Hayvoronsky to Lo Que Suena Los Angeles,Michael Hayvoronsky,,,Lo Que Suena Los Angeles,
778,I want this album on my  Indie Alternativa playlist,,,my,Indie Alternativa,album
779,add tune to Morning Rhythm playlist,,,,Morning Rhythm,tune
780,please add george nooks to my  electronow playlist,george nooks,,my,electronow,
781,Put another artist in my  Opera 100 Spotify Picks playlist.,,,my,Opera 100 Spotify Picks,artist
782,put this song on my  NTC High Intensity Training Tracks playlist,,,my,NTC High Intensity Training Tracks,song
783,add tapper zukie to the all out 00s playlist,tapper zukie,,,all out 00s,
784,Add Tarja Turunen to my  Lo mejor de Radio 3 playlist,Tarja Turunen,,my,Lo mejor de Radio 3,
785,Add this track to the Evening Commute playlist,,,,Evening Commute,track
786,Add this artist to piano chill,,,,piano chill,artist
787,put Tony Rombola on my  novedades viernes sudamÃ©rica playlist,Tony Rombola,,my,novedades viernes sudamÃ©rica,
788,add Curious corn to Wild & Free Workout,,Curious corn,,Wild & Free Workout,
789,add the track to my playlist with the title showstopper being mary jane,,,my,showstopper being mary jane,track
790,add this song to clarice's  latino caliente playlist,,,clarice's,latino caliente,song
791,add the song to the Dub On The Beach playlist,,,,Dub On The Beach,song
792,Add name Me & the Rhythm to my  chill out music,,Me & the Rhythm,my,chill out music,
793,Add this artist to Metal Party,,,,Metal Party,artist
794,Add The Rebirth of Kirk Franklin to the Fiesta playlist.,,The Rebirth of Kirk Franklin,,Fiesta,
795,add Jovanotti to punk espaÃ±ol,Jovanotti,,,punk espaÃ±ol,
796,add this tune by harry connick jr to my  jazz brasileiro playlist,harry connick jr,,my,jazz brasileiro,tune
797,add Diarios de Bicicleta to my  la la playlist,,la la,my,Diarios de Bicicleta,
798,Can you add psycho to Canciones que lo van a petar ?,,psycho,,Canciones que lo van a petar,
799,add Love Story wa Totsuzen ni to the martin garrix show playlist,,Love Story wa Totsuzen ni,,the martin garrix show,
800,Add this piece to my  spotify orchestra cello playlist: colors of the wind,,colors of the wind,my,spotify orchestra cello,
801,Add a randy travis  song to Deep Dark Indie Folk,randy travis,,,Deep Dark Indie Folk,song
802,add this track to my playlist it's ok to like jazz,,,my,it's ok to like jazz,track
803,Add this lbc crew  tune to my  Rock Argentino Vol I playlist,lbc crew,,my,Rock Argentino Vol I,tune
804,add sheila e to my  i love my neo soul playlist,sheila e,,my,i love my neo soul,
805,put artist  paulinho da costa on my  Very Nearly Nashville playlist,paulinho da costa,,my,Very Nearly Nashville,artist
806,add stephanie mcintosh to I Love My 90s Hip Hop  my playlist,stephanie mcintosh,,my,I Love My 90s Hip Hop,
807,Add Shelby Lynne to my playlist This Is Luis Fonsi,Shelby Lynne,,my,This Is Luis Fonsi,
808,Add 12 Odd Future Songs to the Club Hits playlist.,,12 Odd Future Songs,,Club Hits,
809,add lunacy to my  chill out playlist,,lunacy,my,chill out,
810,Please add a track from jeff mills to my  hiphop hot 50 playlist,jeff mills,,my,hiphop hot 50,track
811,Add this song onto my playlist entitled chill out .,,,my,chill out,song
812,Add Falcon to the Top Tracks in Metal playlist.,,Falcon,,Top Tracks in Metal,
813,Add the pop tarts to my  this is astor piazzolla playlist,,the pop tarts,my,this is astor piazzolla,
814,add this track to morning classical,,,,morning classical,track
815,Add Tony Kakko music to Street Dance playlist,Tony Kakko,,,Street Dance,
816,Add this tune to my  Rockabilly Mania,,,my,Rockabilly Mania,tune
817,Add Manuelita la tortuga to my  Nuestros 80 playlist,,Manuelita la tortuga,my,Nuestros 80,
818,add this album to rock en espaÃ±ol,,,,rock en espaÃ±ol,album
819,I'd like to add this whole album to the selektor ,,,,the selektor,album
820,Add Beverley Knight to my  mellow beats playlist,Beverley Knight,,my,mellow beats,
821,Add an espen lind  song to my list lo que suena new york,espen lind,,my,lo que suena new york,song
822,Add album to my  French N' Heavy list,,,my,French N' Heavy,album
823,Add Sveta ljubav to my  Metal Party playlist,,Sveta ljubav,my,Metal Party,
824,add this song to the Pre-Party playlist,,,,Pre-Party,song
825,add this track to Alternative Route,,,,Alternative Route,track
826,Add a track by BT to my  independent music monday playlist.,BT,,my,independent music monday,track
827,Add the tune from Leena Peisa to my  amor amor playlist.,Leena Peisa,,my,amor amor,tune
828,Add this tune to Morning Commute,,,,Morning Commute,tune
829,add song to my  Wild Country playlist,,,my,Wild Country,song
830,I want some fusil contra fusil added to my  dance hits playlist.,,fusil contra fusil,my,dance hits,
831,I want to add this tune by wheesung to my  queen list,wheesung,,my,queen,tune
832,Can you add a tune to my  Jazzy Romance playlist,,,my,Jazzy Romance,tune
833,add j r rotem to Classic Jazz Singers playlist,j r rotem,,,Classic Jazz Singers,
834,Add chen jiafeng to Ultimate 00s,chen jiafeng,,,Ultimate 00s,
835,Put an album by max richter into my  this is Rosana playlist.,max richter,,my,this is Rosana,album
836,I need to have pat alger 's album placed onto the spotlight spain 2016 playlist.,pat alger,,,spotlight spain 2016,album
837,Add no prejudice to 90s Indie,,no prejudice,,90s Indie,
838,Add an artist to the dÃ©cadas playlist.,,,,dÃ©cadas,artist
839,put dj green lantern on my  Targeted playlist,dj green lantern,,my,Targeted,
840,I want Tanya Stephens in my  35 Soul Classics 1970 to 1975 playlist.,Tanya Stephens,,my,35 Soul Classics 1970 to 1975,
841,Add this track to my  Dance Workout playlist,,,my,Dance Workout,track
842,add Butterfly House to nu metal,,Butterfly House,,nu metal,
843,Add My Belgian Rose to my  evening list,,My Belgian Rose,my,evening,
844,Add album to virales de siempre,,,,virales de siempre,album
845,Add this album to my  pop playlist,,,my,pop,album
846,Add thomas a dorsey to my  Big Band,thomas a dorsey,,my,Big Band,
847,add Teddy Boy to my  Irish Folk â Jigs & Reels playlist,,Teddy Boy,my,Irish Folk â Jigs & Reels,
848,add this track to my  party playlist,,,my,party,track
849,Add a guy is a guy to the infinite indie folk playlist.,,a guy is a guy,,infinite indie folk,
850,Add Nightmares That Surface from Shallow Sleep to michael's  Rock Solid playlist,,Nightmares That Surface from Shallow Sleep,michael's,Rock Solid,
851,I want another song in my  rock espaÃ±ol playlist.,,,my,rock espaÃ±ol,song
852,I want to add a song by jazz brasileiro,,,,jazz brasileiro,song
853,Add Ronski Speed to sweet soul chillout,Ronski Speed,,,sweet soul chillout,
854,Put another song in the Cloud Rap playlist.,,,,Cloud Rap,song
855,Put robbie robertson into my  chill out playlist.,robbie robertson,,my,chill out,
856,I want this artist on the Cena Elegante playlist,,,,Cena Elegante,artist
857,Add Jon McLaughlin to my  forever country playlist.,Jon McLaughlin,,my,forever country,
